processed_name,proper_name,suggested_unit,suggested_unit_url,url
backscatter by phytoplankton,backscatter by phytoplankton,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/backscatter_by_phytoplankton
total bacteria,total bacteria,Colony Forming Unit,http://qudt.org/vocab/unit#ColonyFormingUnit,http://registry.it.csiro.au/def/environment/property/bacteria_total
barium concentration,barium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/barium_concentration
benzaanthracene concentration,benz[a]anthracene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/benz_a_anthracene_concentration
benzene concentration,benzene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzene_concentration
benzene  toluene  ethylbenzene  xylene concentration,"benzene, toluene, ethylbenzene, xylene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzene_toluene_ethylbenzene_xylene_concentration
benzoapyrene concentration,benzo[a]pyrene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzo_a_pyrene_concentration
benzobfluoranthene concentration,benzo[b]fluoranthene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzo_b_fluoranthene_concentration
benzoghiperylene concentration,benzo[ghi]perylene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzo_ghi_perylene_concentration
benzokfluoranthene concentration,benzo[k]fluoranthene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/benzo_k_fluoranthene_concentration
