@id,qudt:abbreviation,qudt:code,qudt:conversionMultiplier,qudt:conversionOffset,qudt:currencyExponent,qudt:description,qudt:exactMatch,qudt:literal,qudt:quantityKind,qudt:symbol,qudt:uneceCommonCode,rdf:type,rdfs:label,skos:closeMatch,skos:exactMatch
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Mho>,'mho'^^xsd:string,'1120'^^xsd:string,"","","","",<http://qudt.org/vocab/unit#Siemens>,"",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ElectricConductivity>,'mho'^^xsd:string,'NQ'^^xsd:string,qudt:Unit|qudt:ConductanceUnit,'Mho'^^xsd:string,"",<http://qudt.org/vocab/unit#Mho>|<http://dbpedia.org/resource/Siemens_%28unit%29>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Micro>,"","",1.0E-6,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Dimensionless>,'µ'^^xsd:string,"",qudt:Unit|qudt:DecimalPrefixUnit,'Micro'^^xsd:string,"",<http://dbpedia.org/resource/Micro>|<http://qudt.org/vocab/unit#Micro>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MicroFarad>,'microF'^^xsd:string,'2655'^^xsd:string,1.0E-6,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Capacitance>,'microF'^^xsd:string,'4O'^^xsd:string,qudt:DerivedUnit|qudt:CapacitanceUnit|qudt:SIUnit|qudt:Unit,'Microfarad'^^xsd:string,<http://dbpedia.org/resource/Farad>,<http://qudt.org/vocab/unit#MicroFarad>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MicroHenry>,'microH'^^xsd:string,'2675'^^xsd:string,1.0E-6,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Inductance>,'microH'^^xsd:string,'B90'^^xsd:string,qudt:DerivedUnit|qudt:SIUnit|qudt:InductanceUnit|qudt:Unit,'Microhenry'^^xsd:string,<http://dbpedia.org/resource/Henry_%28unit%29>,<http://qudt.org/vocab/unit#MicroHenry>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MicroInch>,'in^-6'^^xsd:string,'1125'^^xsd:string,2.54E-8,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Length>,'in^-6'^^xsd:string,"",qudt:DerivedUnit|qudt:NotUsedWithSIUnit|qudt:Unit|qudt:LengthUnit,'Microinch'^^xsd:string,"",<http://qudt.org/vocab/unit#MicroInch>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MicroSecond>,'microsec'^^xsd:string,'1617'^^xsd:string,0.000001,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Time>,'microsec'^^xsd:string,'B98'^^xsd:string,qudt:TimeUnit|qudt:Unit|qudt:DerivedUnit,'Microsecond'^^xsd:string,<http://dbpedia.org/resource/1_E-6_s>,<http://qudt.org/vocab/unit#MicroSecond>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MicroTorr>,'µtorr'^^xsd:string,'2026'^^xsd:string,1.33322E-4,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ForcePerArea>,'µtorr'^^xsd:string,"",qudt:NonSIUnit|qudt:Unit|qudt:NotUsedWithSIUnit|qudt:PressureOrStressUnit,'MicroTorr'^^xsd:string,"",<http://qudt.org/vocab/unit#MicroTorr>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Microgravity>,'microG'^^xsd:string,'2110'^^xsd:string,9.80665E-6,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/LinearAcceleration>,'microG'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:Unit|qudt:LinearAccelerationUnit,'Microgravity'^^xsd:string,<http://dbpedia.org/resource/Micro-g_environment>,<http://qudt.org/vocab/unit#Microgravity>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Micrometer>,'µm'^^xsd:string,'2012'^^xsd:string,0.000001,0.0,"","","",'micrometer (micron)'^^xsd:string,<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Length>,'µm'^^xsd:string,'4H'^^xsd:string,qudt:Unit|qudt:LengthUnit|qudt:DerivedUnit,'Micrometer'^^xsd:string,"",<http://dbpedia.org/resource/Micrometer>|<http://qudt.org/vocab/unit#Micrometer>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilAngle>,'mil'^^xsd:string,'1135'^^xsd:string,0.000490873852,0,"","'The Mil unit of plane angle, as defined by NATO to be 1/6400 of a circle.'^^xsd:string","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/PlaneAngle>,'mil'^^xsd:string,"",qudt:PlaneAngleUnit|qudt:NotUsedWithSIUnit|qudt:Unit,'Mil Angle (NATO)'^^xsd:string,"",<http://qudt.org/vocab/unit#MilAngle>
